pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_kepflag,pl_k2flag,ra_str,dec_str,ra,dec,st_dist,st_optmag,st_optband,gaia_gmag,st_teff,st_mass,st_rad,pl_cbflag,pl_eqt,pl_insol,pl_masse,pl_msinie,pl_rade,pl_radj,pl_trandep,pl_trandur,pl_imppar,pl_disc,pl_status,gaia_dist,st_spstr,st_logg,st_metfe,st_age,pl_facility
WASP-65,b,Transit,1,2.31142430,0.033400,0.000000,88.800,0,0,08h53m17.83s,+08d31m22.9s,133.324304,8.523038,310.00,11.900,V (Johnson),11.751,5600.00,0.93,1.01,0,1480,,492.62000,,12.464,1.112,1.280000,0.1139600,0.1490,2013,3,275.86,G6,4.40,-0.070,8.000,SuperWASP
WASP-67,b,Transit,1,4.61442000,,0.000000,85.800,0,0,19h42m58.52s,-19d56m58.5s,295.743840,-19.949596,225.00,12.500,V (Johnson),11.914,5200.00,0.91,0.88,0,,,136.66690,,12.890,1.150,1.800000,,,2012,3,190.49,,4.35,-0.070,,SuperWASP
WASP-68,b,Transit,1,5.08430000,,0.000000,88.100,0,0,20h20m22.99s,-19d18m52.8s,305.095785,-19.314680,227.87,10.700,V (Johnson),10.409,5910.00,1.49,1.79,0,,,343.25640,,14.796,1.320,0.570000,,,2014,3,227.87,G0,4.17,0.220,,SuperWASP
WASP-69,b,Transit,1,3.86814000,,0.000000,86.710,0,0,21h00m06.19s,-05d05m39.9s,315.025778,-5.094404,50.00,9.870,V (Johnson),9.485,4700.00,0.98,0.86,0,,,92.17070,,12.442,1.110,1.800000,,,2014,3,50.03,K5,4.50,0.150,,SuperWASP
WASP-71,b,Transit,1,2.90367000,,0.000000,84.200,0,0,01h57m03.20s,+00d45m31.8s,29.263338,0.758834,345.00,10.560,V (Johnson),10.568,6050.00,0.76,1.82,0,,,441.78370,,13.227,1.180,0.440000,,,2012,3,366.45,F8,3.90,0.150,,SuperWASP
WASP-72,b,Transit,1,2.21673000,,0.000000,86.800,0,0,02h44m09.60s,-30d10m08.5s,41.039999,-30.169039,340.00,10.880,V (Johnson),10.838,6250.00,2.78,2.18,0,,,731.00900,,14.460,1.290,0.370000,,,2012,3,440.17,F7,4.09,-0.060,,SuperWASP
WASP-75,b,Transit,1,2.48419300,0.037500,0.000000,82.000,0,1,22h49m32.57s,-10d40m32.0s,342.385707,-10.675560,260.00,11.450,V (Johnson),11.335,6100.00,1.14,1.26,0,1710,,340.06000,,14.235,1.270,1.070000,0.0822000,0.8820,2013,3,296.44,F9,4.29,0.070,3.500,SuperWASP
WASP-77 A,b,Transit,1,1.36003000,,0.000000,89.400,0,0,02h28m37.23s,-07d03m38.5s,37.155115,-7.060681,93.00,10.300,V (Johnson),10.097,5365.00,1.49,1.09,0,,,727.83070,,15.468,1.380,1.700000,,,2012,3,105.47,G8 V,4.33,-0.340,,SuperWASP
WASP-78,b,Transit,1,2.17518000,,0.000000,83.200,0,0,04h15m01.50s,-22d06m59.2s,63.756240,-22.116434,550.00,12.000,V (Johnson),12.188,6100.00,1.87,2.46,0,,,352.79130,,21.633,1.930,0.650000,,,2012,3,771.13,,4.10,-0.350,,SuperWASP
WASP-80,b,Transit,1,3.06785234,0.034400,0.002000,89.020,0,0,20h12m40.18s,-02d08m39.1s,303.167407,-2.144208,60.00,11.870,V (Johnson),11.273,4143.00,0.58,0.59,0,825,,170.99254,,11.198,0.999,2.937000,0.0887917,0.2150,2012,3,49.86,K7 V,4.66,-0.130,,SuperWASP
